person_lang	T01P01Q01	T01P01Q02	T01P01Q03	T01P01Q04	T01P01Q05	T01P01Q06	T01P02Q01	T01P02Q02	T01P02Q03	T01P02Q04	T01P02Q05	T01P03Q01	T01P03Q02	T01P03Q03	T01P03Q04	T01P03Q05	T01P03Q06	T01P04Q01	T01P04Q02	T01P04Q03	T01P04Q04	T01P04Q05	T01P05Q01	T01P05Q02	T01P05Q03	T01P05Q04	T01P05Q05	T01P06Q01	T01P06Q02	T01P06Q03	T01P06Q04	T01P06Q05	T01P07Q01	T01P07Q02	T01P07Q03	T01P07Q04	T01P07Q05	T01P08Q01	T01P08Q02	T01P08Q03	T01P08Q04	T01P08Q05	T01P09Q01	T01P09Q02	T01P09Q03	T01P09Q04	T01P09Q05	T01P10Q01	T01P10Q02	T01P10Q03	T01P10Q04	T01P10Q05	T01P11Q01	T01P11Q02	T01P11Q03	T01P11Q04	T01P11Q05	T01P12Q01	T01P12Q02	T01P12Q03	T01P12Q04	T01P12Q05	T02P01Q01	T02P01Q02	T02P01Q03	T02P01Q04	T02P01Q05	T02P01Q06	T02P02Q01	T02P02Q02	T02P02Q03	T02P02Q04	T02P02Q05	T02P02Q06	T02P03Q01	T02P03Q02	T02P03Q03	T02P03Q04	T02P03Q05	T02P04Q01	T02P04Q02	T02P04Q03	T02P04Q04	T02P04Q05	T02P04Q06	T02P05Q01	T02P05Q02	T02P05Q03	T02P05Q04	T02P05Q05	T02P06Q01	T02P06Q02	T02P06Q03	T02P06Q04	T02P07Q01	T02P07Q02	T02P07Q03	T02P07Q04	T02P07Q05	T02P08Q01	T02P08Q02	T02P08Q03	T02P08Q04	T02P08Q05	T02P08Q06	T02P09Q01	T02P09Q02	T02P09Q03	T02P09Q04	T02P09Q05	T02P09Q06	T02P10Q01	T02P10Q02	T02P10Q03	T02P10Q04	T02P10Q05	T02P11Q01	T02P11Q02	T02P11Q03	T02P11Q04	T02P11Q05	T02P11Q06	T02P12Q01	T02P12Q02	T02P12Q03	T02P12Q04	T02P12Q05
s25de	X	X	X	X	X	X	X	X	X	X	X	1	2	1	3	0	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	0	2	0	2	X	X	X	X	X	2	2	2	1	1	X	X	X	X	X	X	X	X	X	X	0	1	1	0	0	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	0	1	2	1	4	2	3	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s25en	2	1	0	3	1	5	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	2	2	1	3	1	4	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	1	1	0	0	X	X	X	X	X	2	2	2	3	2	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	0	2	1	3
s25sh	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	1	0	1	0	X	X	X	X	X	0	1	2	3	0	X	X	X	X	X	1	0	1	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	0	0	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	2	4	2	1	0	X	X	X	X	X	X	2	0	0	1	6	X	X	X	X	X	X	X	X	X	X	X
s25tg	X	X	X	X	X	X	1	2	1	1	1	X	X	X	X	X	X	0	1	2	1	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	2	0	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	0	2	0	0	X	X	X	X	X	X	0	2	2	0	0	0	X	X	X	X	X	1	2	0	1	1	1	X	X	X	X	X
s26de	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	0	2	1	1	X	X	X	X	X	2	1	2	0	2	X	X	X	X	X	X	X	X	X	X	3	1	3	1	0	1	0	1	1	2	0	X	X	X	X	X	X	2	1	1	1	2	2	2	1	0	3	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s26en	0	0	1	1	1	4	X	X	X	X	X	1	0	0	3	1	0	0	0	0	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	1	2	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	0	1	1	0	2	0	0	1	1	X	X	X	X	X
s26sh	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	2	0	0	0	0	0	1	0	X	X	X	X	X	1	0	0	0	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	1	0	0	0	X	X	X	X	X	X	0	2	0	0	1	0	X	X	X	X	X	X	X	X	X	X	X	0	1	0	1	0
s26tg	X	X	X	X	X	X	1	1	1	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	2	2	1	2	1	2	2	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	1	1	2	1	4	2	4	2	X	X	X	X	X	2	2	4	2	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s27de	X	X	X	X	X	X	1	1	1	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	1	4	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	1	1	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	2	0	3	2	1	0	0	2	1	5	2	4	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s27en	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	0	2	1	3	1	2	3	2	2	3	2	5	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	0	1	1	0	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	2	6	1	1	1	3	1	3	1	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s27sh	X	X	X	X	X	X	X	X	X	X	X	1	3	1	0	0	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	0	2	1	1	0	0	1	0	0	X	X	X	X	X	X	X	X	X	X	X	3	2	1	3	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	1	1	0	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	0	0	1	1
s27tg	2	0	1	3	0	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	0	0	0	0	2	0	2	0	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	4	1	0	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	3	2	1	1	1	2	0	0	1	1	X	X	X	X	X
s28de	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	0	4	1	2	X	X	X	X	X	2	0	2	2	2	X	X	X	X	X	2	2	2	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	1	0	2	1	X	X	X	X	0	2	2	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	0	0	1	2	X	X	X	X	X
s28en	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	2	2	0	X	X	X	X	X	3	1	3	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	0	2	1	1	X	X	X	X	X	0	1	1	0	1	1	X	X	X	X	X	X	X	X	X	X	X	2	2	1	3	0	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	2	3	1	0	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s28sh	X	X	X	X	X	X	1	1	1	2	1	1	3	1	3	0	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	3	0	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	5	1	4	2	X	X	X	X	X	1	2	6	0	1	2	X	X	X	X	X	X	2	3	2	1	6	X	X	X	X	X	X	X	X	X	X	X
s28tg	3	0	1	3	2	6	X	X	X	X	X	X	X	X	X	X	X	2	1	2	1	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	2	3	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	2	1	2	2	1	5	1	3	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	1	2	1	4
s29de	X	X	X	X	X	X	X	X	X	X	X	1	3	1	0	1	1	X	X	X	X	X	X	X	X	X	X	2	0	4	1	2	X	X	X	X	X	X	X	X	X	X	0	0	2	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	2	4	3	2	X	X	X	X	X	X	X	X	X	0	0	0	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	1	2	1	4
s29en	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	1	1	0	0	X	X	X	X	X	X	X	X	X	X	0	1	0	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	2	0	1	1	X	X	X	X	X	X	2	2	1	1	0	0	X	X	X	X	X	X	X	X	X	X	X	1	0	0	0	1	X	X	X	X	X	X	X	X	X	1	0	4	2	0	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s29sh	2	0	1	3	0	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	0	1	1	1	1	2	0	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	1	1	1	2	X	X	X	X	X	X	X	X	X	X	X	0	1	4	0	X	X	X	X	X	X	X	X	X	X	X	0	1	1	0	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s29tg	X	X	X	X	X	X	1	1	1	1	1	X	X	X	X	X	X	X	X	X	X	X	1	2	1	2	1	X	X	X	X	X	X	X	X	X	X	2	0	0	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	2	1	1	0	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	0	2	1	1	0	2	0	0	1	1	X	X	X	X	X
s30de	X	X	X	X	X	X	X	X	X	X	X	1	3	1	3	3	1	X	X	X	X	X	X	X	X	X	X	3	0	4	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	2	2	1	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	2	3	1	X	X	X	X	2	2	2	2	1	X	X	X	X	X	X	3	3	3	0	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s30en	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	3	4	2	1	X	X	X	X	X	3	1	4	1	1	X	X	X	X	X	2	2	2	3	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	2	2	3	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	6	2	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	1	1	1	4
s30sh	3	1	0	2	2	4	1	2	1	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	2	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	4	1	1	1	2	X	X	X	X	X	X	X	X	X	X	X	3	2	2	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	0	2	1	5	X	X	X	X	X	X	X	X	X	X	X
s30tg	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	1	2	1	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	2	2	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	3	1	1	0	2	1	0	2	3	3	2	1	0	0	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	0	1	1	1	X	X	X	X	X
s31de	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	1	2	1	3	1	3	3	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	1	2	3	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	4	2	5	2	2	2	2	0	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	2	0	1	1	X	X	X	X	X
s31en	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	5	1	1	3	1	3	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	3	2	1	1	X	X	X	X	X	X	X	X	X	X	X	3	2	1	2	2	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	0	4	1	1	1	X	X	X	X	X	X	2	4	2	1	4	X	X	X	X	X	X	X	X	X	X	X
s31sh	3	0	0	1	1	4	X	X	X	X	X	1	0	1	0	0	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	0	3	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	2	2	1	2	1	1	2	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	2	2	0	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s31tg	X	X	X	X	X	X	1	2	1	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	1	2	2	X	X	X	X	X	3	2	2	1	2	X	X	X	X	X	X	X	X	X	X	0	1	1	0	2	1	X	X	X	X	X	X	4	1	3	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	1	2	1	5
s32de	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	1	2	1	3	0	4	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	0	2	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	0	0	2	0	0	0	5	0	1	0	0	2	0	0	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s32en	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	1	3	0	0	2	0	2	0	0	0	0	2	3	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	1	1	0	1	0	3	2	1	0	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	0	2	0	2	X	X	X	X	X	X	X	X	X	X	X
s32sh	X	X	X	X	X	X	X	X	X	X	X	1	3	0	3	0	0	2	1	1	1	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	2	3	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	0	2	1	1	4	2	5	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	2	2	1	1	X	X	X	X	X
s32tg	2	0	1	3	1	5	0	2	1	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	0	2	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	4	1	1	1	2	2	2	1	3	3	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	1	0	1	4
s33de	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	1	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	1	2	2	2	X	X	X	X	X	1	2	2	2	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	4	2	1	2	2	2	2	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	1	0	1	5
s33en	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	0	4	1	2	3	1	3	0	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	1	3	1	2	1	0	1	1	2	3	3	1	1	1	0	0	X	X	X	X	X	2	2	2	0	2	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s33sh	X	X	X	X	X	X	X	X	X	X	X	1	3	1	3	2	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	0	2	2	X	X	X	X	X	3	2	2	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	1	1	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	1	3	0	0	1	X	X	X	X	X	1	2	0	0	1	2	X	X	X	X	X
s33tg	3	1	1	3	1	5	0	0	1	2	1	X	X	X	X	X	X	0	1	2	1	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	5	1	0	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	4	1	1	1	X	X	X	X	X	X	2	2	2	1	5	X	X	X	X	X	X	X	X	X	X	X
s34de	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	2	2	0	X	X	X	X	X	X	X	X	X	X	2	0	0	0	0	X	X	X	X	X	X	X	X	X	X	1	2	0	1	0	X	X	X	X	X	0	0	1	1	0	3	X	X	X	X	X	X	X	X	X	X	X	2	1	1	2	0	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	1	0	1	2
s34en	1	0	1	3	2	4	X	X	X	X	X	X	X	X	X	X	X	2	1	2	1	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	0	3	1	1	X	X	X	X	X	X	X	X	X	X	X	X	3	1	0	1	2	X	X	X	X	X	X	X	X	X	X	X	4	2	0	2	0	1	2	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s34sh	X	X	X	X	X	X	0	1	1	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	2	2	2	2	2	0	1	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	1	1	2	1	X	X	X	X	X	X	X	X	X	0	0	2	0	1	0	X	X	X	X	X	X	X	X	X	X	X	0	2	0	0	1	0	X	X	X	X	X
s34tg	X	X	X	X	X	X	X	X	X	X	X	1	1	0	0	3	1	X	X	X	X	X	X	X	X	X	X	2	2	4	1	0	3	1	0	0	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	1	2	0	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	1	3	1	0	1	2	3	2	1	2	X	X	X	X	X	X	X	X	X	X	X
s35de	X	X	X	X	X	X	X	X	X	X	X	1	0	1	3	0	0	X	X	X	X	X	X	X	X	X	X	1	1	0	0	0	X	X	X	X	X	0	0	0	0	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	1	1	0	0	0	X	X	X	X	X	X	X	X	X	X	X	1	0	0	2	1	X	X	X	X	0	0	0	0	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s35en	X	X	X	X	X	X	1	2	1	2	1	X	X	X	X	X	X	X	X	X	X	X	1	2	2	2	0	X	X	X	X	X	3	1	4	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	1	1	1	2	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	1	0	1	1	1	X	X	X	X	X	1	2	0	1	1	2	X	X	X	X	X
s35sh	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	1	0	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	0	2	1	2	X	X	X	X	X	1	2	2	1	0	X	X	X	X	X	X	X	X	X	X	X	X	0	1	0	1	0	X	X	X	X	X	X	X	X	X	X	X	4	0	4	0	X	X	X	X	X	0	1	0	0	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s35tg	2	0	1	2	2	4	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	1	2	2	2	X	X	X	X	X	1	2	2	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	2	0	3	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	0	2	1	2	X	X	X	X	X	X	0	1	0	1	2
s36de	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	4	1	2	X	X	X	X	X	2	2	2	1	2	X	X	X	X	X	3	2	2	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	1	2	2	0	3	1	2	1	2	2	2	2	0	3	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s36en	X	X	X	X	X	X	1	1	1	2	1	1	3	1	0	2	1	2	1	2	1	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	1	1	2	0	X	X	X	X	0	2	2	2	1	X	X	X	X	X	X	4	1	2	0	0	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
s36sh	1	1	0	3	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	2	0	1	0	2	0	1	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	2	4	1	X	X	X	X	X	2	2	4	2	1	1	X	X	X	X	X	X	2	0	2	1	4	X	X	X	X	X	X	X	X	X	X	X
s36tg	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	1	0	2	1	X	X	X	X	X	3	1	4	1	2	X	X	X	X	X	2	2	2	3	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	0	1	1	2	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	0	0	2	1	0	1	0	1	2
s37de	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	3	2	2	2	2	4	1	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	2	2	1	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	5	1	3	0	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	6	1	1	1	X	X	X	X	X	X	2	4	2	1	2	X	X	X	X	X	X	X	X	X	X	X
s37en	X	X	X	X	X	X	X	X	X	X	X	1	0	1	3	3	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2	2	2	2	X	X	X	X	X	3	0	2	1	3	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	3	2	1	1	2	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	0	2	2	2	0	X	X	X	X	X	X	3	2	2	0	2	0	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
